# From Ensembl, BDGP5.4, via BioMart, 04/19/2009
#Ensembl Gene ID	Ensembl Transcript ID	Ensembl Protein ID	FlyBase gene id	FlyBase transcript id	FlyBase protein id
FBgn0031208	FBtr0089256	FBpp0088316	FBgn0031208	FBtr0089256	FBpp0088316
FBgn0002121	FBtr0078166	FBpp0077824	FBgn0002121	FBtr0078166	FBpp0077824
FBgn0002121	FBtr0078171	FBpp0077829	FBgn0002121	FBtr0078171	FBpp0077829
FBgn0002121	FBtr0078170	FBpp0077828	FBgn0002121	FBtr0078170	FBpp0077828
FBgn0002121	FBtr0078167	FBpp0077825	FBgn0002121	FBtr0078167	FBpp0077825
FBgn0002121	FBtr0078168	FBpp0077826	FBgn0002121	FBtr0078168	FBpp0077826
FBgn0002121	FBtr0078169	FBpp0077827	FBgn0002121	FBtr0078169	FBpp0077827
FBgn0031209	FBtr0113008	FBpp0111921	FBgn0031209	FBtr0113008	FBpp0111921
FBgn0051973	FBtr0113416	FBpp0112328	FBgn0051973	FBtr0113416	FBpp0112328
FBgn0051973	FBtr0113415	FBpp0112327	FBgn0051973	FBtr0113415	FBpp0112327
FBgn0051973	FBtr0078163	FBpp0077821	FBgn0051973	FBtr0078163	FBpp0077821
FBgn0051973	FBtr0078164	FBpp0077822	FBgn0051973	FBtr0078164	FBpp0077822
FBgn0067779	FBtr0078100	FBpp0077759	FBgn0067779	FBtr0078100	FBpp0077759
FBgn0031213	FBtr0078101	FBpp0077760	FBgn0031213	FBtr0078101	FBpp0077760
FBgn0031214	FBtr0114507	FBpp0112999	FBgn0031214	FBtr0114507	FBpp0112999
FBgn0002931	FBtr0078162	FBpp0077820	FBgn0002931	FBtr0078162	FBpp0077820
FBgn0031216	FBtr0078103	FBpp0077762	FBgn0031216	FBtr0078103	FBpp0077762
FBgn0031217	FBtr0078104	FBpp0077763	FBgn0031217	FBtr0078104	FBpp0077763
FBgn0026787	FBtr0078161	FBpp0077819	FBgn0026787	FBtr0078161	FBpp0077819
FBgn0005278	FBtr0089429	FBpp0088445	FBgn0005278	FBtr0089429	FBpp0088445
FBgn0005278	FBtr0089431	FBpp0088447	FBgn0005278	FBtr0089431	FBpp0088447
FBgn0005278	FBtr0089430	FBpp0088446	FBgn0005278	FBtr0089430	FBpp0088446
FBgn0005278	FBtr0089436	FBpp0088452	FBgn0005278	FBtr0089436	FBpp0088452
FBgn0005278	FBtr0089435	FBpp0088451	FBgn0005278	FBtr0089435	FBpp0088451
FBgn0005278	FBtr0089432	FBpp0088448	FBgn0005278	FBtr0089432	FBpp0088448
FBgn0005278	FBtr0089433	FBpp0088449	FBgn0005278	FBtr0089433	FBpp0088449
