FBgn	Revised_Orthology
FBgn0000008	11A111111111
FBgn0000011	111111111111
FBgn0000014	111111111111
FBgn0000015	111111111111
FBgn0000017	111111111111
FBgn0000018	111111111111
FBgn0000022	11A111111111
FBgn0000024	111111111111
FBgn0000028	111111111111
FBgn0000032	111111111111
FBgn0000036	111111111111
FBgn0000037	111111111111
FBgn0000038	111111111111
FBgn0000039	111111111111
FBgn0000042	111111111111
FBgn0000043	111111111111
FBgn0000044	111111111111
FBgn0000045	111111111111
FBgn0000046	111111111111
FBgn0000047	111111111111
FBgn0000052	111111111111
FBgn0000053	111111111111
FBgn0000054	111111111111
FBgn0000061	111111111111
FBgn0000064	111111111111
FBgn0000071	111111111111
FBgn0000075	111111111111
FBgn0000076	1A1110AA000A
FBgn0000077	111111111111
FBgn0000078	111111111111
FBgn0000083	111A11111111
FBgn0000084	111111111111
FBgn0000092	111111111111
FBgn0000093	111110000000
FBgn0000094	11A110000000
FBgn0000095	111111111111
FBgn0000097	111111111111
FBgn0000099	111111111111
FBgn0000100	111111111111
FBgn0000108	111111111111
FBgn0000109	111111111111
FBgn0000114	111111111111
FBgn0000115	111111111111
FBgn0000116	111111111111
FBgn0000117	111111111111
FBgn0000119	111111111111
FBgn0000120	111111111111
FBgn0000121	111111111111
FBgn0000137	111111111111
FBgn0000139	111111111111
FBgn0000140	111111111111
FBgn0000142	111111111111
FBgn0000146	111111111111
FBgn0000147	111111111111
FBgn0000150	111111111111
FBgn0000152	111111111111
FBgn0000153	111111111111
FBgn0000157	111111111111
FBgn0000158	111111111111
FBgn0000163	111111111111
FBgn0000165	111111111111
FBgn0000166	111111111111
FBgn0000171	111111111111
FBgn0000173	111111111111
FBgn0000179	111111101111
FBgn0000180	111111111111
FBgn0000181	111111111111
FBgn0000182	111111111111
FBgn0000183	111111111111
FBgn0000206	1A1111111111
FBgn0000210	111111111111
FBgn0000212	111111111111
FBgn0000216	111111111000
FBgn0000221	111111111111
FBgn0000227	111111111111
FBgn0000228	111111111111
FBgn0000229	111111A11111
FBgn0000233	111111111111
FBgn0000239	111111111111
FBgn0000241	111111111111
FBgn0000242	111111111111
FBgn0000244	111111111111
FBgn0000246	111110111111
FBgn0000250	111111111111
FBgn0000251	111111111111
FBgn0000253	111111111111
FBgn0000256	111111111111
FBgn0000257	111111111111
FBgn0000258	111111111111
FBgn0000259	111111AA1111
FBgn0000261	111111111111
FBgn0000273	111111111111
FBgn0000274	111111111111
FBgn0000275	111111111111
FBgn0000278	111111111111
FBgn0000279	111111111111
FBgn0000283	111111111111
FBgn0000287	111111111111
FBgn0000289	111111111111
FBgn0000299	111111111111
FBgn0000303	111111111111
FBgn0000307	111111111111
FBgn0000308	111111111111
FBgn0000313	111111111111
FBgn0000316	111111111111
FBgn0000317	111111111111
FBgn0000318	111111111111
FBgn0000319	111111111111
FBgn0000320	111111111111
FBgn0000326	111111111111
